Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Civic Education,Geography,Economics,Government,Literature,admitted_department
REG2025_1194,Zainab Adewale,Animal and Environmental Biology,156,41,D7,C5,D7,D7,D7,C6,C4,B2,B2,B2,C6,Plant Science and Biotechnology
REG2025_1195,Seun Chukwu,Animal and Environmental Biology,246,77,B2,C5,A1,B3,A1,B2,C5,C6,B3,C5,B3,-
REG2025_1196,Blessing Muhammed,Applied Physics,220,68,A1,C5,B2,C6,B2,C4,B3,B3,A1,A1,C4,-
REG2025_1197,Uche Ojo,Physics,242,72,A1,B2,A1,B3,B3,B2,B2,A1,C6,C5,A1,-
REG2025_1198,Blessing Adeyemi,Biochemistry,166,31,E8,C5,E8,F9,F9,B2,B3,C6,A1,A1,A1,Biochemistry
REG2025_1199,Ngozi Ibrahim,Industrial Chemistry,222,66,B2,C5,A1,C5,B2,C4,B2,B3,B2,B3,B2,Industrial Chemistry
REG2025_1200,Chika Okoro,Industrial Chemistry,254,76,C6,C6,C6,C5,C6,B3,A1,C4,C6,B3,C5,Industrial Chemistry
REG2025_1201,Ngozi Okonkwo,Industrial Chemistry,132,40,E8,B3,E8,D7,D7,A1,A1,A1,B3,A1,C5,Animal and Environmental Biology
REG2025_1202,Tunde Okonkwo,Physics,126,57,E8,C4,E8,D7,F9,C4,A1,B3,B2,B3,B2,Physics
REG2025_1203,Aisha Muhammed,Physics,247,77,B2,B2,C4,C5,B3,C5,B2,C6,C5,B2,C4,Physics
REG2025_1204,Aisha Okonkwo,Animal and Environmental Biology,223,64,A1,C5,A1,A1,C4,A1,B3,C4,C4,B2,C6,Plant Science and Biotechnology
REG2025_1205,Ifeanyi Muhammed,Plant Science and Biotechnology,131,47,E8,C6,F9,E8,D7,C4,C4,C5,C4,C5,C5,Plant Science and Biotechnology
REG2025_1206,Funmi Muhammed,Mathematics and Statistics,209,70,B2,C6,C4,A1,C5,C4,C6,C6,C4,C6,C6,Mathematics and Statistics
REG2025_1207,Tunde Balogun,Computer Science,243,71,B2,C4,C5,C5,C4,B3,B3,B3,C4,B3,B2,Computer Science
REG2025_1208,Seun Abubakar,Plant Science and Biotechnology,180,38,F9,A1,D7,E8,D7,C5,C4,C4,C4,A1,C4,Plant Science and Biotechnology
REG2025_1209,Aisha Balogun,Mathematics and Statistics,218,74,C6,A1,C4,B3,C5,C4,B3,B2,C5,C6,C6,Mathematics and Statistics
REG2025_1210,Ngozi Muhammed,Plant Science and Biotechnology,136,57,E8,C4,D7,E8,F9,C6,C5,C4,A1,A1,C5,Plant Science and Biotechnology
REG2025_1211,Blessing Okoro,Computer Science,193,58,F9,C5,D7,E8,D7,B3,B2,C4,B3,B2,C5,Biochemistry
REG2025_1212,Chika Okoro,Plant Science and Biotechnology,213,69,C5,B2,B3,A1,C5,C6,A1,C4,C4,B2,B3,Plant Science and Biotechnology
REG2025_1213,Tunde Chukwu,Mathematics and Statistics,221,65,B3,A1,C5,C5,B3,B3,C6,C5,B3,C5,C5,Animal and Environmental Biology
REG2025_1214,Blessing Muhammed,Mathematics and Statistics,229,66,C5,A1,B3,C4,A1,C5,B2,C6,B3,B2,C6,Mathematics and Statistics
REG2025_1215,Zainab Okonkwo,Physics,250,78,A1,A1,C4,B2,B2,B3,B2,C4,C5,B3,B3,Physics
REG2025_1216,Seun Adewale,Animal and Environmental Biology,244,75,A1,B3,C6,C6,B2,B3,A1,C5,C6,B2,C6,Plant Science and Biotechnology
REG2025_1217,Seun Adeyemi,Applied Physics,247,75,C5,C6,A1,C5,B2,A1,C4,B3,C6,A1,A1,Applied Physics
REG2025_1218,Blessing Chukwu,Animal and Environmental Biology,123,48,D7,A1,E8,F9,E8,B2,B3,B2,C4,B2,C6,Animal and Environmental Biology
REG2025_1219,Chika Okonkwo,Microbiology,172,46,F9,C5,E8,D7,D7,A1,B2,B2,C5,A1,C4,Applied Physics
REG2025_1220,Aisha Balogun,Industrial Chemistry,175,49,D7,A1,E8,E8,E8,C6,C5,C5,C5,C4,C5,Plant Science and Biotechnology
REG2025_1221,Ngozi Adewale,Biochemistry,198,50,D7,C5,F9,F9,F9,B2,B3,B2,B3,C6,C4,Biochemistry
REG2025_1222,Chika Ojo,Animal and Environmental Biology,248,75,B3,A1,C4,A1,C5,C4,A1,C6,B2,B3,B2,-
REG2025_1223,Ifeanyi Adeyemi,Industrial Chemistry,219,70,C6,C6,C6,C5,B3,C6,C5,A1,B3,C5,C6,Mathematics and Statistics
REG2025_1224,Zainab Adewale,Biochemistry,235,79,A1,C4,A1,B2,A1,B2,A1,C4,C5,B2,A1,Physics
REG2025_1225,Zainab Adewale,Physics,229,69,C4,C4,C6,C5,B3,C5,C6,B3,C4,C4,C4,-
REG2025_1226,Aisha Ojo,Physics,136,41,D7,C6,E8,F9,E8,C4,B3,B2,B3,C5,B2,Physics
REG2025_1227,Blessing Muhammed,Plant Science and Biotechnology,215,67,B3,C4,B2,B3,C6,C4,B3,B2,C6,C4,C4,Plant Science and Biotechnology
REG2025_1228,Ifeanyi Ibrahim,Biochemistry,236,73,C5,A1,B2,C6,C6,C5,C6,C4,C4,C5,A1,Biochemistry
REG2025_1229,Aisha Okoro,Industrial Chemistry,193,57,D7,B2,E8,E8,E8,A1,B2,C4,C6,A1,C5,Industrial Chemistry
REG2025_1230,Ifeanyi Okoro,Physics,180,42,D7,C6,E8,E8,D7,C5,C4,B3,C4,C6,C4,Mathematics and Statistics
REG2025_1231,Zainab Adewale,Applied Physics,236,70,B2,C4,C4,B2,C4,C6,C6,B2,C6,C6,B3,Mathematics and Statistics
REG2025_1232,Tunde Adeyemi,Plant Science and Biotechnology,209,67,A1,C4,A1,B2,B3,C5,C6,C5,C5,C5,C5,Plant Science and Biotechnology
REG2025_1233,Uche Adewale,Industrial Chemistry,247,77,C5,A1,C5,C5,A1,B2,C4,B2,B2,C6,C5,Plant Science and Biotechnology
REG2025_1234,Chika Balogun,Industrial Chemistry,250,78,C4,A1,A1,C4,C4,C4,C5,B2,B2,A1,B2,Industrial Chemistry
REG2025_1235,Aisha Balogun,Physics,189,45,E8,C6,F9,D7,D7,C4,C5,B2,C6,B3,B3,Physics
REG2025_1236,Seun Ibrahim,Mathematics and Statistics,220,68,B3,C6,A1,A1,B3,B3,A1,B3,B3,B2,C5,Mathematics and Statistics
REG2025_1237,Funmi Okonkwo,Biochemistry,123,58,F9,B2,E8,F9,D7,B3,C4,B3,B3,C4,A1,Biochemistry
REG2025_1238,Seun Adewale,Mathematics and Statistics,143,47,F9,A1,D7,E8,E8,C6,B2,C4,B2,C5,C6,Mathematics and Statistics
REG2025_1239,Blessing Adeyemi,Industrial Chemistry,174,50,E8,C6,E8,E8,F9,C5,A1,C4,A1,C5,B2,Industrial Chemistry
REG2025_1240,Aisha Adeyemi,Applied Physics,232,69,A1,C5,B3,C5,B2,B3,B2,B3,C4,C6,C6,Applied Physics
REG2025_1241,Ngozi Ibrahim,Biochemistry,248,73,A1,C5,C5,B2,B2,A1,C5,C6,B2,C5,B3,Biochemistry
REG2025_1242,Ngozi Ibrahim,Industrial Chemistry,225,68,B2,B2,B3,C4,C6,C6,B2,C5,C5,C5,B2,Industrial Chemistry
REG2025_1243,Ngozi Ibrahim,Biochemistry,225,78,A1,C6,C5,C5,B2,C5,C4,A1,B3,B2,C5,Biochemistry
REG2025_1244,Blessing Abubakar,Microbiology,241,74,B2,C6,C6,C5,C5,C5,B3,B2,C5,C6,C6,Microbiology
REG2025_1245,Chika Balogun,Industrial Chemistry,210,70,B3,B3,A1,B3,C4,C6,B2,A1,C4,B2,C6,Industrial Chemistry
REG2025_1246,Ngozi Muhammed,Physics,232,75,C4,C5,B3,C6,C6,C5,C5,A1,B3,B2,A1,Physics
REG2025_1247,Tunde Ibrahim,Plant Science and Biotechnology,200,60,C4,B3,C4,C6,B2,B2,B3,C4,B2,C4,C6,Plant Science and Biotechnology
REG2025_1248,Funmi Abubakar,Applied Physics,226,68,C4,B2,C4,B3,C5,A1,C4,B3,C6,B3,A1,Industrial Chemistry
REG2025_1249,Blessing Abubakar,Mathematics and Statistics,246,79,B2,C6,B2,B2,B3,A1,C5,C5,C4,C4,A1,Mathematics and Statistics
REG2025_1250,Tunde Adewale,Computer Science,264,79,C4,C6,C4,B3,B3,B2,B3,C5,B3,C4,B3,Applied Physics
REG2025_1251,Aisha Okoro,Computer Science,262,76,C6,C4,C5,A1,C4,A1,C4,C4,B2,B3,A1,Plant Science and Biotechnology
REG2025_1252,Chika Balogun,Animal and Environmental Biology,206,68,C5,C4,C6,B3,A1,C4,A1,A1,C5,C5,B2,Animal and Environmental Biology
REG2025_1253,Ifeanyi Balogun,Biochemistry,243,70,B2,C6,A1,B3,B2,B3,B2,C5,C5,C4,B3,-
REG2025_1254,Ifeanyi Okoro,Physics,152,49,E8,C5,D7,F9,F9,C6,B3,C5,B3,C4,C6,Physics
REG2025_1255,Funmi Adewale,Applied Physics,215,73,C6,C5,C6,C5,C6,C4,C4,A1,C5,C6,B2,Industrial Chemistry
REG2025_1256,Uche Ibrahim,Computer Science,128,52,E8,C6,F9,D7,F9,A1,C5,B3,C6,B2,B2,Computer Science
REG2025_1257,Tunde Ibrahim,Mathematics and Statistics,214,70,A1,C5,B2,B3,B2,B3,B3,A1,C4,C6,C5,Plant Science and Biotechnology
REG2025_1258,Zainab Chukwu,Computer Science,269,80,B3,B2,B3,C4,B3,A1,B2,B3,C4,C4,C5,Computer Science
REG2025_1259,Uche Muhammed,Microbiology,254,75,B2,C4,C5,B3,C4,B3,C5,C5,C6,A1,B3,Microbiology
REG2025_1260,Zainab Okonkwo,Physics,248,75,B3,C6,B2,A1,B3,A1,C5,B2,C5,A1,C4,Physics
REG2025_1261,Zainab Ojo,Mathematics and Statistics,223,69,C5,C5,B3,B2,A1,A1,B3,B3,B2,A1,C5,Animal and Environmental Biology
REG2025_1262,Ifeanyi Okoro,Applied Physics,250,79,C6,B2,C4,B3,B3,A1,C6,C5,B3,B2,C5,-
REG2025_1263,Zainab Ojo,Plant Science and Biotechnology,143,41,E8,A1,D7,E8,D7,B2,B3,C4,B3,B3,A1,-
REG2025_1264,Ifeanyi Okoro,Biochemistry,243,79,C5,C6,C5,B3,B2,B2,B2,A1,B2,C5,C4,Biochemistry
REG2025_1265,Chika Abubakar,Applied Physics,244,66,C4,B2,C4,C5,C6,C6,B3,B3,C4,C5,B2,Applied Physics
REG2025_1266,Funmi Adeyemi,Microbiology,245,70,C4,C4,B3,C6,C6,B2,A1,B3,C5,B3,C6,-
REG2025_1267,Funmi Adeyemi,Animal and Environmental Biology,251,76,B2,C4,B2,C5,C5,B3,C4,A1,C4,A1,B2,Plant Science and Biotechnology
REG2025_1268,Ifeanyi Adewale,Applied Physics,236,71,C5,C6,C4,A1,B2,B3,C4,C4,C4,C6,B3,Applied Physics
REG2025_1269,Uche Ojo,Microbiology,242,77,B2,C5,A1,C6,C6,B3,C4,C4,C6,B3,C5,Biochemistry
REG2025_1270,Funmi Okonkwo,Mathematics and Statistics,240,76,C5,C6,B3,B2,C4,C6,B3,B2,B3,C6,C6,Plant Science and Biotechnology
REG2025_1271,Seun Chukwu,Mathematics and Statistics,215,68,B2,C4,B2,B3,B2,C6,C6,A1,A1,B2,A1,Plant Science and Biotechnology
REG2025_1272,Uche Abubakar,Microbiology,245,78,C4,C4,A1,C4,C5,B2,B2,C5,B3,C5,C6,-
REG2025_1273,Ifeanyi Okoro,Biochemistry,238,71,A1,C4,C5,A1,C6,A1,C4,B3,C5,B2,B3,Applied Physics
REG2025_1274,Blessing Balogun,Biochemistry,250,75,B3,A1,C4,C6,B2,A1,C4,B2,A1,B3,C4,Biochemistry
REG2025_1275,Zainab Adeyemi,Biochemistry,172,49,D7,C6,F9,D7,E8,B2,C5,B2,B3,B3,A1,Biochemistry
REG2025_1276,Zainab Ibrahim,Industrial Chemistry,170,42,D7,C5,E8,F9,E8,C4,C4,C4,C4,B2,B2,-
REG2025_1277,Ngozi Muhammed,Industrial Chemistry,238,71,B2,C4,A1,C6,C5,A1,C4,C5,A1,C5,C4,Industrial Chemistry
REG2025_1278,Uche Abubakar,Animal and Environmental Biology,216,66,C5,B3,C6,B2,B2,B3,C4,B2,C6,C6,B3,-
REG2025_1279,Ngozi Chukwu,Physics,190,40,F9,A1,D7,E8,E8,C5,B2,C5,C4,C5,C4,Physics
REG2025_1280,Tunde Abubakar,Industrial Chemistry,211,73,C6,B3,C5,B3,C5,A1,C4,B2,C5,A1,C4,Industrial Chemistry
REG2025_1281,Zainab Adeyemi,Microbiology,231,78,B2,A1,C5,C5,B3,B2,C6,C5,B3,C4,A1,Microbiology
REG2025_1282,Ifeanyi Balogun,Animal and Environmental Biology,188,37,F9,C4,D7,F9,E8,C4,C4,A1,B3,C4,C4,Animal and Environmental Biology
REG2025_1283,Aisha Ibrahim,Mathematics and Statistics,152,38,F9,A1,E8,F9,E8,B2,C5,C4,A1,A1,C5,Mathematics and Statistics
REG2025_1284,Zainab Balogun,Plant Science and Biotechnology,198,49,F9,C6,F9,D7,D7,A1,C5,C6,A1,C5,A1,-
REG2025_1285,Zainab Ojo,Animal and Environmental Biology,123,43,D7,C5,F9,E8,D7,A1,C6,C6,B3,C5,C6,Animal and Environmental Biology
REG2025_1286,Tunde Abubakar,Animal and Environmental Biology,125,53,F9,C5,D7,E8,F9,C4,C6,C6,C4,C4,C4,Animal and Environmental Biology
REG2025_1287,Chika Adewale,Animal and Environmental Biology,122,32,D7,C5,D7,F9,E8,C5,B3,A1,B3,C6,B3,Animal and Environmental Biology
REG2025_1288,Tunde Chukwu,Biochemistry,228,73,B2,B3,A1,A1,B3,B2,A1,C6,A1,B2,C4,Biochemistry
REG2025_1289,Ifeanyi Adeyemi,Plant Science and Biotechnology,240,75,B2,B2,C4,C4,B2,C6,C5,C6,C5,B2,C4,Plant Science and Biotechnology
REG2025_1290,Seun Adeyemi,Biochemistry,253,76,A1,C5,C6,A1,C5,B3,B3,C6,C6,A1,C6,Biochemistry
REG2025_1291,Tunde Ibrahim,Industrial Chemistry,252,79,C6,A1,B3,C4,B2,A1,C4,B3,C5,B3,C6,Industrial Chemistry
REG2025_1292,Aisha Ojo,Industrial Chemistry,138,44,E8,C5,F9,D7,D7,C6,A1,C5,B3,B3,B2,-
REG2025_1293,Ifeanyi Okonkwo,Computer Science,251,80,C4,C5,B3,A1,A1,B3,B3,C6,C6,A1,C5,Plant Science and Biotechnology
REG2025_1294,Seun Muhammed,Mathematics and Statistics,158,33,F9,A1,F9,F9,E8,C6,C5,B2,B3,B3,A1,Mathematics and Statistics
REG2025_1295,Chika Balogun,Mathematics and Statistics,232,70,C6,C4,C5,A1,C5,B2,C4,C5,C4,B2,C5,Animal and Environmental Biology
REG2025_1296,Uche Okoro,Industrial Chemistry,250,78,C5,B2,B2,C6,C4,A1,C5,C5,B2,C5,B3,-
REG2025_1297,Seun Adewale,Physics,243,73,C5,C4,B3,B2,A1,B3,C6,B2,C4,C6,B2,Physics
REG2025_1298,Chika Ibrahim,Animal and Environmental Biology,136,33,F9,C6,F9,E8,E8,B3,C6,C4,C4,C6,B2,Animal and Environmental Biology
REG2025_1299,Aisha Adewale,Microbiology,242,76,A1,A1,C6,B2,A1,C5,B2,B3,B2,A1,B2,Mathematics and Statistics
REG2025_1300,Zainab Balogun,Plant Science and Biotechnology,220,61,A1,C4,A1,B2,C6,C6,C6,B2,C6,A1,C5,Plant Science and Biotechnology
REG2025_1301,Aisha Okoro,Industrial Chemistry,229,71,C4,C5,B3,C5,B2,B3,C4,C4,C5,C6,B3,Industrial Chemistry
REG2025_1302,Seun Chukwu,Plant Science and Biotechnology,226,63,B2,C5,C4,B2,C6,B3,B3,B2,B2,B3,A1,Plant Science and Biotechnology
REG2025_1303,Seun Adewale,Physics,248,71,B2,C5,A1,B2,C4,B2,B2,C5,C5,B2,B2,Plant Science and Biotechnology
REG2025_1304,Tunde Okoro,Mathematics and Statistics,206,73,C5,C5,C6,C6,B2,C6,C6,B3,A1,A1,B3,-
REG2025_1305,Blessing Ojo,Mathematics and Statistics,216,66,C4,C6,B3,B2,C4,C4,C4,A1,C5,A1,B2,Mathematics and Statistics
REG2025_1306,Ngozi Muhammed,Animal and Environmental Biology,251,75,A1,B3,C6,B2,A1,B3,C4,C5,C4,B2,B2,Plant Science and Biotechnology
REG2025_1307,Ngozi Okoro,Mathematics and Statistics,175,37,E8,B2,F9,F9,F9,B2,C6,B3,C5,B2,B2,Animal and Environmental Biology
REG2025_1308,Zainab Chukwu,Animal and Environmental Biology,244,76,C5,B2,C4,C4,B3,C5,B2,C4,A1,A1,C5,-
REG2025_1309,Seun Okonkwo,Physics,132,46,F9,B2,D7,E8,F9,C4,B3,B2,B2,C6,C4,Physics
REG2025_1310,Blessing Abubakar,Biochemistry,254,70,C6,B2,C6,C5,B2,B2,C5,C4,C6,B2,B3,Biochemistry
REG2025_1311,Ngozi Chukwu,Industrial Chemistry,222,69,A1,C5,B2,B3,B2,C6,A1,A1,A1,A1,C4,Industrial Chemistry
REG2025_1312,Ngozi Balogun,Biochemistry,251,79,B3,C6,A1,B3,C5,C5,B2,C6,A1,C5,C6,Biochemistry
REG2025_1313,Blessing Adeyemi,Microbiology,241,76,B2,B2,B2,C4,B2,A1,C6,B3,C6,C6,B3,Mathematics and Statistics
REG2025_1314,Chika Balogun,Biochemistry,229,77,C5,B3,C4,B3,C4,C4,C4,C6,A1,A1,B3,Biochemistry
REG2025_1315,Chika Adeyemi,Mathematics and Statistics,253,75,A1,B2,B2,C5,B3,C4,C5,C4,B3,C4,B2,Animal and Environmental Biology
REG2025_1316,Aisha Okoro,Computer Science,137,49,F9,A1,D7,F9,E8,A1,A1,C4,B2,A1,A1,Computer Science
REG2025_1317,Ngozi Muhammed,Industrial Chemistry,248,75,C5,B2,A1,C6,C4,C5,A1,A1,B3,C4,A1,Industrial Chemistry
REG2025_1318,Blessing Balogun,Biochemistry,251,79,B3,B2,B3,C6,C4,A1,A1,C5,C4,A1,A1,Mathematics and Statistics
REG2025_1319,Funmi Ojo,Biochemistry,194,46,F9,A1,F9,F9,F9,B3,B2,B2,B2,C5,C4,Biochemistry
REG2025_1320,Chika Okoro,Computer Science,243,77,B3,B2,A1,A1,B2,A1,C5,B3,C4,B2,C5,Microbiology
REG2025_1321,Uche Okonkwo,Animal and Environmental Biology,211,63,A1,A1,C6,C5,C5,C4,C4,C5,B3,B2,B3,Animal and Environmental Biology
REG2025_1322,Chika Abubakar,Computer Science,243,72,A1,C6,B2,B3,C4,B3,C6,B2,B2,B2,C6,Computer Science
REG2025_1323,Funmi Balogun,Physics,191,50,D7,B3,D7,F9,D7,C5,B2,C5,B2,C6,B3,Mathematics and Statistics
REG2025_1324,Funmi Okonkwo,Mathematics and Statistics,148,58,D7,C6,F9,E8,F9,B2,C5,C5,B2,C5,B2,Mathematics and Statistics
REG2025_1325,Seun Okonkwo,Microbiology,245,75,B3,B2,C4,B3,B3,C4,C6,C4,C4,B3,B2,-
REG2025_1326,Blessing Balogun,Physics,250,78,C6,C6,A1,C5,C5,B2,C5,C4,C5,B3,A1,Physics
REG2025_1327,Funmi Okonkwo,Animal and Environmental Biology,146,38,E8,C4,D7,E8,F9,C6,C5,C6,C6,B3,C5,Animal and Environmental Biology
REG2025_1328,Zainab Ibrahim,Animal and Environmental Biology,222,68,C6,C4,B2,C6,B3,C6,C5,A1,A1,B3,C5,Plant Science and Biotechnology
REG2025_1329,Ngozi Ibrahim,Computer Science,235,73,B2,B3,A1,C6,B3,C6,C5,B3,C4,A1,B2,Industrial Chemistry
REG2025_1330,Chika Chukwu,Physics,234,69,B3,B3,C6,A1,C5,C4,B2,C6,B3,C4,C4,Applied Physics
REG2025_1331,Blessing Ojo,Applied Physics,237,71,B3,B3,C6,A1,C5,B2,C4,C6,C6,B3,B3,Animal and Environmental Biology
REG2025_1332,Ifeanyi Adewale,Mathematics and Statistics,240,78,B2,C6,C6,C5,C4,A1,C6,C6,A1,B2,B2,-
REG2025_1333,Ifeanyi Ojo,Industrial Chemistry,146,35,F9,C4,F9,D7,E8,B2,B2,C5,C5,C5,C4,Mathematics and Statistics
REG2025_1334,Uche Adeyemi,Applied Physics,247,79,B2,C5,A1,B3,C4,C4,A1,C4,A1,B3,A1,Plant Science and Biotechnology
REG2025_1335,Funmi Chukwu,Applied Physics,228,72,B3,C4,C5,C6,C5,A1,A1,B3,A1,A1,B3,Applied Physics
REG2025_1336,Chika Ibrahim,Applied Physics,233,71,C4,C6,B2,A1,C4,B2,C4,B2,C4,C4,B2,Applied Physics
REG2025_1337,Ngozi Okonkwo,Applied Physics,224,67,B2,C6,C5,A1,C4,A1,C5,A1,C6,C6,A1,Applied Physics
REG2025_1338,Tunde Adewale,Industrial Chemistry,235,73,C5,B2,C6,B3,C4,B3,C5,B2,B3,C6,C4,Industrial Chemistry
REG2025_1339,Tunde Abubakar,Physics,122,33,D7,A1,F9,E8,F9,B2,B2,A1,C4,B2,B2,Animal and Environmental Biology
REG2025_1340,Funmi Chukwu,Microbiology,247,77,B2,B3,C5,B3,B3,B3,C4,C6,C6,B3,A1,Applied Physics
REG2025_1341,Blessing Balogun,Plant Science and Biotechnology,218,64,B3,C5,C6,B3,C5,A1,C4,A1,A1,C4,C6,Plant Science and Biotechnology
REG2025_1342,Seun Ojo,Physics,220,68,C5,B2,B3,B2,B3,B3,C5,C6,B2,A1,C4,Physics
REG2025_1343,Uche Balogun,Computer Science,269,82,A1,C6,B3,B3,B3,C5,A1,C4,B3,B2,C5,Computer Science
REG2025_1344,Aisha Ojo,Computer Science,266,79,C5,C6,A1,A1,C5,C6,B2,C4,C5,A1,B3,Computer Science
REG2025_1345,Ngozi Balogun,Physics,122,39,F9,A1,F9,F9,F9,B3,C4,C4,C4,B2,B2,Physics
REG2025_1346,Blessing Abubakar,Computer Science,231,74,B3,C5,B3,B2,A1,B3,C6,B2,C4,B2,A1,Computer Science
REG2025_1347,Ngozi Okoro,Microbiology,246,78,B3,A1,A1,B3,A1,C5,C4,C6,B3,A1,B3,Microbiology
REG2025_1348,Chika Ojo,Industrial Chemistry,243,77,B3,C6,C6,B2,A1,A1,A1,B2,C4,C6,B3,Industrial Chemistry
REG2025_1349,Chika Okoro,Industrial Chemistry,198,34,D7,C5,D7,E8,F9,A1,A1,C6,C4,C4,C6,Mathematics and Statistics
REG2025_1350,Ngozi Abubakar,Industrial Chemistry,235,68,B3,C5,B3,A1,B3,C5,C4,B3,B3,B3,C5,Plant Science and Biotechnology
REG2025_1351,Aisha Ibrahim,Biochemistry,156,51,E8,B3,F9,F9,E8,C5,B2,A1,C5,C5,A1,Physics
REG2025_1352,Ngozi Abubakar,Plant Science and Biotechnology,225,67,B3,B3,B2,B3,C5,B2,C5,B2,A1,A1,B2,Plant Science and Biotechnology
REG2025_1353,Ngozi Ojo,Physics,242,77,C4,C6,A1,B3,C4,B2,A1,B2,C6,B3,C6,Applied Physics
REG2025_1354,Seun Balogun,Biochemistry,253,77,B2,C6,A1,C6,C4,A1,C6,C6,B3,C4,C6,Biochemistry
REG2025_1355,Funmi Ojo,Industrial Chemistry,121,57,D7,C6,F9,D7,D7,C4,C5,A1,C5,A1,C5,Industrial Chemistry
REG2025_1356,Funmi Balogun,Animal and Environmental Biology,247,77,C6,C4,A1,C4,A1,B3,C5,C5,C5,C4,C4,Animal and Environmental Biology
REG2025_1357,Ifeanyi Ibrahim,Plant Science and Biotechnology,219,61,B2,A1,C5,C5,C6,B2,C4,A1,A1,C6,C4,Plant Science and Biotechnology
REG2025_1358,Seun Okoro,Microbiology,249,71,B3,C6,C6,C6,C6,C6,B3,C5,C5,B3,C4,Microbiology
REG2025_1359,Aisha Chukwu,Computer Science,236,71,C4,C6,C5,C4,C5,C5,B3,B3,A1,B3,C6,Computer Science
REG2025_1360,Zainab Adewale,Physics,240,75,B2,C6,A1,C6,B2,C4,C6,C5,B2,B2,B3,Physics
REG2025_1361,Seun Okoro,Animal and Environmental Biology,230,62,C4,B2,B2,C4,B2,B2,B2,A1,C4,B3,C5,Plant Science and Biotechnology
REG2025_1362,Ifeanyi Okonkwo,Applied Physics,234,66,C4,C6,C6,B3,C6,B3,C4,C5,A1,B3,C5,Mathematics and Statistics
REG2025_1363,Chika Muhammed,Animal and Environmental Biology,187,31,E8,C4,E8,F9,D7,C5,B2,B2,A1,A1,C4,Animal and Environmental Biology
REG2025_1364,Uche Chukwu,Biochemistry,141,37,E8,B2,F9,E8,D7,B2,A1,C6,C4,C5,B3,Biochemistry
REG2025_1365,Seun Ibrahim,Computer Science,269,84,C5,C6,C6,B2,B2,C4,C4,B3,C6,C4,B2,-
REG2025_1366,Blessing Okonkwo,Mathematics and Statistics,232,74,C6,C6,B2,C6,B2,B3,C6,B2,C4,B3,A1,Animal and Environmental Biology
REG2025_1367,Ngozi Abubakar,Industrial Chemistry,249,75,C4,C6,C5,B2,C6,C6,B3,C4,A1,A1,C4,Animal and Environmental Biology
REG2025_1368,Aisha Abubakar,Industrial Chemistry,219,72,A1,C5,B3,B2,A1,C5,C4,A1,A1,B3,B3,Industrial Chemistry
REG2025_1369,Tunde Okonkwo,Applied Physics,243,76,C4,C4,C4,B3,A1,C5,C5,C4,C4,A1,C5,Mathematics and Statistics
REG2025_1370,Zainab Adewale,Applied Physics,241,68,B2,B3,A1,A1,B3,C5,B3,C6,C4,B2,B3,-
REG2025_1371,Seun Abubakar,Plant Science and Biotechnology,224,64,B3,C6,B3,C5,A1,B2,B3,C6,A1,A1,B3,Plant Science and Biotechnology
REG2025_1372,Tunde Adewale,Mathematics and Statistics,215,71,A1,C6,B2,A1,B3,C4,C6,C5,A1,C4,C4,Plant Science and Biotechnology
REG2025_1373,Zainab Adewale,Physics,195,41,F9,C5,F9,F9,D7,C4,A1,C5,B2,A1,B2,Physics
REG2025_1374,Ngozi Abubakar,Industrial Chemistry,233,73,A1,C4,B3,A1,A1,B2,C6,B2,C4,A1,C4,Industrial Chemistry
REG2025_1375,Uche Adewale,Computer Science,250,76,C5,A1,C4,A1,A1,B2,B2,A1,C4,C6,B3,Computer Science
REG2025_1376,Blessing Ibrahim,Computer Science,263,77,C6,B3,C4,C5,C4,C4,C4,A1,C5,C5,A1,Computer Science
REG2025_1377,Funmi Abubakar,Mathematics and Statistics,147,36,D7,C4,F9,F9,F9,B3,B3,C6,C6,A1,B3,Mathematics and Statistics
REG2025_1378,Seun Ibrahim,Applied Physics,216,72,C5,C6,C4,B3,B2,A1,C4,C5,C5,C4,C4,Applied Physics
REG2025_1379,Blessing Chukwu,Mathematics and Statistics,206,68,C4,B3,C4,B2,A1,C5,B2,C6,C5,C4,C6,Animal and Environmental Biology
REG2025_1380,Seun Ojo,Computer Science,267,79,B3,B3,A1,A1,C5,C4,B2,B3,C5,B3,C5,Computer Science
REG2025_1381,Aisha Ojo,Industrial Chemistry,233,71,B3,C4,B2,A1,C5,C4,A1,C4,A1,B3,B3,Mathematics and Statistics
REG2025_1382,Blessing Adewale,Physics,249,71,C6,C4,B3,C4,B3,C5,C4,B2,C4,B3,A1,Industrial Chemistry
REG2025_1383,Uche Adewale,Microbiology,231,71,C5,A1,C6,A1,C6,C4,B2,B2,A1,C5,C6,-
REG2025_1384,Blessing Adeyemi,Industrial Chemistry,130,48,F9,A1,E8,D7,D7,B2,C6,B2,B3,A1,C6,Plant Science and Biotechnology
REG2025_1385,Ngozi Adewale,Computer Science,243,71,C5,C5,C4,C6,B2,A1,C5,B2,C6,C5,B2,Plant Science and Biotechnology
REG2025_1386,Ngozi Abubakar,Mathematics and Statistics,216,69,C4,C4,B2,C5,B3,B2,B2,B3,C5,A1,B2,Mathematics and Statistics
