Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Geography,Economics,Literature,admitted_department
REG2025_0212,Roy Thompson,Animal and Environmental Biology,229,62,B2,B2,C6,C6,C6,C6,C5,C5,C5,Animal and Environmental Biology
REG2025_0213,Dr Max Stewart,Mathematics and Statistics,219,64,C6,C6,C6,C6,C6,C6,C5,C5,C5,Mathematics and Statistics
REG2025_0214,Samuel Poole-Bond,Biochemistry,241,82,A1,A1,A1,A1,A1,A1,C5,C5,C5,Biochemistry
REG2025_0215,Dr Geoffrey Hunt,Computer Science,255,87,B3,B3,B2,B2,B2,B2,A1,A1,A1,Computer Science
REG2025_0216,Frank Gibbs,Industrial Chemistry,231,78,C5,C5,B3,B3,B3,B3,C5,C5,C5,Industrial Chemistry
REG2025_0217,Mr Abdul Lewis,Industrial Chemistry,240,69,C6,C6,C5,C5,C5,C5,C5,C5,C5,Industrial Chemistry
REG2025_0218,Miss Amelia James,Applied Physics,225,72,C6,C6,C6,C6,C6,C6,B3,B3,B3,Applied Physics
REG2025_0219,Alex Jones,Animal and Environmental Biology,216,66,B3,B3,A1,A1,A1,A1,A1,A1,A1,Animal and Environmental Biology
REG2025_0220,Dr Jordan Wilson,Biochemistry,243,85,B2,B2,C5,C5,C5,C5,B2,B2,B2,Biochemistry
REG2025_0221,Stephen Brown,Plant Science and Biotechnology,208,72,A1,A1,B2,B2,B2,B2,A1,A1,A1,Plant Science and Biotechnology
REG2025_0222,Dr Alan Nelson,Applied Physics,233,76,C5,C5,B3,B3,B3,B3,C4,C4,C4,Applied Physics
REG2025_0223,Julie Berry,Computer Science,252,75,B3,B3,B2,B2,B2,B2,B2,B2,B2,Computer Science
REG2025_0224,Mr Julian Morrison,Applied Physics,230,74,B2,B2,C6,C6,C6,C6,C4,C4,C4,Applied Physics
REG2025_0225,Dr Francesca Morrison,Industrial Chemistry,215,70,C5,C5,B3,B3,B3,B3,C6,C6,C6,Industrial Chemistry
REG2025_0226,Robin Rahman,Computer Science,244,84,A1,A1,A1,A1,A1,A1,B2,B2,B2,Computer Science
REG2025_0227,Vincent Turner-Perry,Applied Physics,215,81,C4,C4,C5,C5,C5,C5,B2,B2,B2,Applied Physics
REG2025_0228,Megan Cooper,Biochemistry,246,81,A1,A1,C6,C6,C6,C6,B3,B3,B3,Biochemistry
REG2025_0229,Lorraine Leonard-Baker,Applied Physics,233,75,C4,C4,C6,C6,C6,C6,C4,C4,C4,Applied Physics
REG2025_0230,Roger Peacock,Microbiology,251,76,B3,B3,C4,C4,C4,C4,B2,B2,B2,Microbiology
REG2025_0231,Vincent Hartley,Computer Science,261,90,C4,C4,A1,A1,A1,A1,B3,B3,B3,Computer Science
REG2025_0232,Dr Anthony Morgan,Biochemistry,226,81,B2,B2,C5,C5,C5,C5,C6,C6,C6,Biochemistry
REG2025_0233,Dr Shaun Mason,Applied Physics,222,77,B3,B3,C5,C5,C5,C5,C5,C5,C5,Applied Physics
REG2025_0234,Eric Carter,Animal and Environmental Biology,221,62,C5,C5,C6,C6,C6,C6,C4,C4,C4,Animal and Environmental Biology
REG2025_0235,Hilary O'Neill,Biochemistry,227,70,B2,B2,C5,C5,C5,C5,A1,A1,A1,Biochemistry
REG2025_0236,Donna Foster-Patel,Plant Science and Biotechnology,226,74,B3,B3,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0237,Elizabeth Frost,Industrial Chemistry,235,73,C5,C5,C5,C5,C5,C5,B2,B2,B2,Industrial Chemistry
REG2025_0238,Natalie Hudson,Computer Science,263,79,B3,B3,B3,B3,B3,B3,C6,C6,C6,Computer Science
REG2025_0239,Mr Brandon Chapman,Industrial Chemistry,228,66,C4,C4,A1,A1,A1,A1,B3,B3,B3,Industrial Chemistry
REG2025_0240,Jacqueline Duffy,Mathematics and Statistics,220,79,B3,B3,C4,C4,C4,C4,C6,C6,C6,Mathematics and Statistics
REG2025_0241,Sylvia Jones-Kent,Physics,236,80,C4,C4,C5,C5,C5,C5,C6,C6,C6,Physics
REG2025_0242,Craig Glover-King,Plant Science and Biotechnology,230,69,C6,C6,B2,B2,B2,B2,C6,C6,C6,Plant Science and Biotechnology
REG2025_0243,Carole Pope,Animal and Environmental Biology,204,61,A1,A1,A1,A1,A1,A1,C5,C5,C5,Animal and Environmental Biology
REG2025_0244,Robert Adams,Applied Physics,238,69,C4,C4,B3,B3,B3,B3,B3,B3,B3,Applied Physics
REG2025_0245,Andrea Reid,Biochemistry,246,78,B2,B2,A1,A1,A1,A1,C6,C6,C6,Biochemistry
REG2025_0246,Derek Allen,Industrial Chemistry,226,73,B2,B2,B2,B2,B2,B2,A1,A1,A1,Industrial Chemistry
REG2025_0247,Dr Adrian Johnson,Physics,232,68,C5,C5,C6,C6,C6,C6,B3,B3,B3,Physics
REG2025_0248,Jennifer Preston,Physics,245,76,B3,B3,B3,B3,B3,B3,C4,C4,C4,Physics
REG2025_0249,Maria Morris,Industrial Chemistry,224,68,C6,C6,B2,B2,B2,B2,B2,B2,B2,Industrial Chemistry
REG2025_0250,Alison Holmes-Cooper,Computer Science,264,82,B2,B2,C5,C5,C5,C5,A1,A1,A1,Computer Science
REG2025_0251,Angela Butcher,Industrial Chemistry,236,65,C6,C6,A1,A1,A1,A1,B2,B2,B2,Industrial Chemistry
REG2025_0252,Alice Bell-Whitehead,Physics,227,83,C5,C5,B2,B2,B2,B2,B2,B2,B2,Physics
REG2025_0253,David Harris-Burton,Physics,243,73,C6,C6,C5,C5,C5,C5,C5,C5,C5,Physics
REG2025_0254,Kathryn Taylor,Animal and Environmental Biology,225,73,C6,C6,B2,B2,B2,B2,C6,C6,C6,Animal and Environmental Biology
REG2025_0255,Judith Yates,Microbiology,248,74,B2,B2,A1,A1,A1,A1,A1,A1,A1,Microbiology
REG2025_0256,Mr Gavin Chadwick,Mathematics and Statistics,208,72,C6,C6,A1,A1,A1,A1,B2,B2,B2,Mathematics and Statistics
REG2025_0257,Daniel Wright,Mathematics and Statistics,225,78,A1,A1,B2,B2,B2,B2,B2,B2,B2,Mathematics and Statistics
REG2025_0258,Julie Baker-Moss,Mathematics and Statistics,231,72,A1,A1,C6,C6,C6,C6,C5,C5,C5,Mathematics and Statistics
REG2025_0259,Jodie Yates,Industrial Chemistry,227,71,C5,C5,A1,A1,A1,A1,C6,C6,C6,Industrial Chemistry
REG2025_0260,Josh Bailey-Randall,Plant Science and Biotechnology,202,68,C5,C5,B2,B2,B2,B2,B2,B2,B2,Plant Science and Biotechnology
REG2025_0261,Oliver Wood,Animal and Environmental Biology,212,68,C6,C6,B2,B2,B2,B2,C4,C4,C4,Animal and Environmental Biology
REG2025_0262,Iain Parry,Animal and Environmental Biology,226,75,C4,C4,B2,B2,B2,B2,C4,C4,C4,Animal and Environmental Biology
REG2025_0263,Dr Patricia Ferguson,Mathematics and Statistics,230,78,C5,C5,C5,C5,C5,C5,C4,C4,C4,Mathematics and Statistics
REG2025_0264,Anne Jones-West,Biochemistry,238,72,C6,C6,B3,B3,B3,B3,C6,C6,C6,Biochemistry
REG2025_0265,Mohammed Burke,Industrial Chemistry,231,68,C5,C5,B3,B3,B3,B3,A1,A1,A1,Industrial Chemistry
REG2025_0266,Ellie Edwards,Biochemistry,246,76,A1,A1,B3,B3,B3,B3,C5,C5,C5,Biochemistry
REG2025_0267,Stephen Cooper,Physics,250,71,C4,C4,C6,C6,C6,C6,B2,B2,B2,Physics
REG2025_0268,Mr Benjamin Edwards,Microbiology,248,72,B2,B2,B3,B3,B3,B3,C4,C4,C4,Microbiology
REG2025_0269,Joshua Powell,Biochemistry,232,73,B2,B2,B3,B3,B3,B3,B2,B2,B2,Biochemistry
REG2025_0270,Dr Victoria Mahmood,Microbiology,249,75,B3,B3,A1,A1,A1,A1,A1,A1,A1,Microbiology
REG2025_0271,Derek Macdonald,Industrial Chemistry,211,75,C4,C4,C6,C6,C6,C6,B2,B2,B2,Industrial Chemistry
REG2025_0272,Kayleigh Booth,Plant Science and Biotechnology,213,67,C6,C6,A1,A1,A1,A1,C6,C6,C6,Plant Science and Biotechnology
REG2025_0273,Samuel Kelly,Physics,231,69,C6,C6,C4,C4,C4,C4,B3,B3,B3,Physics
REG2025_0274,Dr Colin Ellis,Biochemistry,235,76,B3,B3,A1,A1,A1,A1,B3,B3,B3,Biochemistry
REG2025_0275,Heather Coles,Applied Physics,245,66,A1,A1,B3,B3,B3,B3,C5,C5,C5,Applied Physics
REG2025_0276,Tom Riley-Evans,Plant Science and Biotechnology,220,72,C6,C6,B2,B2,B2,B2,C6,C6,C6,Plant Science and Biotechnology
REG2025_0277,Shirley Carter,Computer Science,267,80,A1,A1,C6,C6,C6,C6,C4,C4,C4,Computer Science
REG2025_0278,Ms Carole Ali,Physics,237,82,C4,C4,B2,B2,B2,B2,C5,C5,C5,Physics
REG2025_0279,Mr Leon Williams,Microbiology,244,81,C4,C4,C6,C6,C6,C6,A1,A1,A1,Microbiology
REG2025_0280,Bryan Ingram-Ellis,Animal and Environmental Biology,205,65,B2,B2,C6,C6,C6,C6,B3,B3,B3,Animal and Environmental Biology
REG2025_0281,James Brady,Biochemistry,255,73,A1,A1,B2,B2,B2,B2,C4,C4,C4,Biochemistry
REG2025_0282,Dr Lewis Gibson,Plant Science and Biotechnology,204,70,B2,B2,C6,C6,C6,C6,C4,C4,C4,Plant Science and Biotechnology
REG2025_0283,Dr Richard Baxter,Physics,228,77,B3,B3,B3,B3,B3,B3,C4,C4,C4,Physics
REG2025_0284,Dr Lawrence Freeman,Mathematics and Statistics,206,66,C4,C4,C6,C6,C6,C6,C6,C6,C6,Mathematics and Statistics
REG2025_0285,Miss Ashleigh Booth,Microbiology,233,72,C5,C5,C4,C4,C4,C4,C4,C4,C4,Microbiology
REG2025_0286,Mr Justin Kirby,Animal and Environmental Biology,203,64,B3,B3,C4,C4,C4,C4,B2,B2,B2,Animal and Environmental Biology
REG2025_0287,Ms Diane Harper,Computer Science,268,85,B2,B2,B2,B2,B2,B2,A1,A1,A1,Computer Science
REG2025_0288,Emily Stewart,Animal and Environmental Biology,207,70,B3,B3,C6,C6,C6,C6,C5,C5,C5,Animal and Environmental Biology
REG2025_0289,Jonathan Thomas,Plant Science and Biotechnology,220,68,A1,A1,B2,B2,B2,B2,B3,B3,B3,Plant Science and Biotechnology
REG2025_0290,Mrs Jade Wilson,Animal and Environmental Biology,226,63,B2,B2,C4,C4,C4,C4,C4,C4,C4,Animal and Environmental Biology
REG2025_0291,Amelia Perry,Biochemistry,225,83,C5,C5,A1,A1,A1,A1,C6,C6,C6,Biochemistry
REG2025_0292,Dr Hollie Stevenson,Computer Science,262,79,C4,C4,C6,C6,C6,C6,B3,B3,B3,Computer Science
REG2025_0293,Dylan Watkins,Mathematics and Statistics,228,71,B2,B2,B2,B2,B2,B2,B2,B2,B2,Mathematics and Statistics
REG2025_0294,Dr Dylan Mason,Industrial Chemistry,217,80,C5,C5,C4,C4,C4,C4,C6,C6,C6,Industrial Chemistry
REG2025_0295,Roy Morris-Taylor,Computer Science,268,81,A1,A1,A1,A1,A1,A1,B3,B3,B3,Computer Science
REG2025_0296,Dr Carolyn Williamson,Plant Science and Biotechnology,224,64,B3,B3,B2,B2,B2,B2,A1,A1,A1,Plant Science and Biotechnology
REG2025_0297,Catherine Thompson-Walsh,Industrial Chemistry,228,79,B2,B2,C5,C5,C5,C5,A1,A1,A1,Industrial Chemistry
REG2025_0298,Albert Davies,Microbiology,233,84,C5,C5,C4,C4,C4,C4,B3,B3,B3,Microbiology
REG2025_0299,Conor Morgan,Microbiology,256,82,C5,C5,C6,C6,C6,C6,B2,B2,B2,Microbiology
REG2025_0300,Ricky Rowley,Animal and Environmental Biology,208,64,A1,A1,B3,B3,B3,B3,C6,C6,C6,Animal and Environmental Biology
REG2025_0301,Mary Smith,Industrial Chemistry,207,60,B3,B3,C4,C4,C4,C4,B3,B3,B3,Plant Science and Biotechnology
REG2025_0302,Sylvia Simpson,Mathematics and Statistics,148,49,E8,C5,E8,E8,E8,E8,C5,C5,C5,-
REG2025_0303,Ms Emma Webb,Industrial Chemistry,207,64,C6,C6,C6,C6,C6,C6,A1,A1,A1,Animal and Environmental Biology
REG2025_0304,Denis Simpson,Applied Physics,205,65,C5,C5,B3,B3,B3,B3,C4,C4,C4,Mathematics and Statistics
REG2025_0305,Stanley Williams,Animal and Environmental Biology,202,60,B3,B3,C6,C6,C6,C6,C4,C4,C4,Plant Science and Biotechnology
REG2025_0306,Jeremy Thomas-Reid,Microbiology,212,61,C4,C4,B2,B2,B2,B2,B3,B3,B3,Animal and Environmental Biology
REG2025_0307,Mr Wayne Cross,Animal and Environmental Biology,200,60,B2,B2,B3,B3,B3,B3,C6,C6,C6,Plant Science and Biotechnology
REG2025_0308,Bradley Little,Physics,217,67,A1,A1,A1,A1,A1,A1,C4,C4,C4,Industrial Chemistry
REG2025_0309,Mr Reece Reid,Physics,123,32,B3,D7,E8,E8,E8,E8,C5,C5,C5,-
REG2025_0310,Susan Hill,Biochemistry,220,69,A1,A1,B2,B2,B2,B2,B3,B3,B3,Physics
REG2025_0311,Dr Gerald Lawson,Biochemistry,210,65,C5,C5,B2,B2,B2,B2,C4,C4,C4,Mathematics and Statistics
REG2025_0312,Caroline Harper,Animal and Environmental Biology,201,60,C6,C6,B3,B3,B3,B3,C6,C6,C6,Plant Science and Biotechnology
REG2025_0313,Ronald Reed,Microbiology,228,70,C4,C4,C4,C4,C4,C4,C6,C6,C6,Biochemistry
REG2025_0314,Jemma Osborne,Mathematics and Statistics,135,47,B3,B2,D7,D7,D7,D7,A1,A1,A1,-
REG2025_0315,Dr Norman Collins,Mathematics and Statistics,201,62,B2,B2,C4,C4,C4,C4,A1,A1,A1,Plant Science and Biotechnology
REG2025_0316,Sheila Phillips,Animal and Environmental Biology,180,43,A1,E8,D7,D7,D7,D7,B2,B2,B2,-
REG2025_0317,Lawrence Glover-Smith,Mathematics and Statistics,201,63,C6,C6,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0318,Roy Parry,Applied Physics,212,65,B3,B3,C5,C5,C5,C5,B2,B2,B2,Industrial Chemistry
REG2025_0319,Albert Murphy,Applied Physics,174,33,E8,B3,D7,D7,D7,D7,B2,B2,B2,-
REG2025_0320,Kevin Nicholls-John,Physics,163,48,D7,D7,E8,E8,E8,E8,C6,C6,C6,-
REG2025_0321,Clifford Edwards-Miah,Microbiology,223,69,B2,B2,B3,B3,B3,B3,B2,B2,B2,Physics
REG2025_0322,Ashleigh Peters,Biochemistry,222,65,B2,B2,B2,B2,B2,B2,A1,A1,A1,Industrial Chemistry
REG2025_0323,Mr Conor Moore,Microbiology,218,66,B3,B3,C4,C4,C4,C4,C4,C4,C4,Applied Physics
REG2025_0324,Linda Thomas,Animal and Environmental Biology,201,60,C5,C5,C5,C5,C5,C5,B3,B3,B3,Plant Science and Biotechnology
REG2025_0325,Beth Taylor-Mitchell,Physics,201,65,B3,B3,B2,B2,B2,B2,C4,C4,C4,Plant Science and Biotechnology
REG2025_0326,Dr Connor James,Microbiology,226,67,B2,B2,B2,B2,B2,B2,C6,C6,C6,Industrial Chemistry
REG2025_0327,Charlotte Johnson,Computer Science,238,67,C6,C6,A1,A1,A1,A1,C5,C5,C5,Industrial Chemistry
REG2025_0328,Jean Cooper,Biochemistry,215,60,C4,C4,C5,C5,C5,C5,A1,A1,A1,Animal and Environmental Biology
REG2025_0329,Paige Anderson,Applied Physics,211,65,B2,B2,B3,B3,B3,B3,C5,C5,C5,Industrial Chemistry
REG2025_0330,Grace Ford,Animal and Environmental Biology,202,60,A1,A1,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0331,Joyce Hewitt,Industrial Chemistry,209,64,B2,B2,B3,B3,B3,B3,C6,C6,C6,Animal and Environmental Biology
REG2025_0332,Dr Robin Burns,Computer Science,236,71,C4,C4,B3,B3,B3,B3,B2,B2,B2,Microbiology
REG2025_0333,Dennis Buckley,Computer Science,238,73,C6,C6,C4,C4,C4,C4,C5,C5,C5,Microbiology
REG2025_0334,Dylan Ryan,Industrial Chemistry,208,60,C4,C4,B3,B3,B3,B3,A1,A1,A1,Plant Science and Biotechnology
REG2025_0335,Georgina Fletcher,Animal and Environmental Biology,201,60,B3,B3,B3,B3,B3,B3,C4,C4,C4,Plant Science and Biotechnology
REG2025_0336,Callum Clark,Microbiology,214,62,C4,C4,C4,C4,C4,C4,C6,C6,C6,Animal and Environmental Biology
REG2025_0337,Ms Emily Phillips,Industrial Chemistry,207,62,A1,A1,C4,C4,C4,C4,C5,C5,C5,Plant Science and Biotechnology
REG2025_0338,Mary Clarke-Ward,Applied Physics,212,60,C6,C6,B3,B3,B3,B3,C6,C6,C6,Animal and Environmental Biology
REG2025_0339,Mathew Miles,Applied Physics,208,65,C5,C5,C5,C5,C5,C5,C5,C5,C5,Mathematics and Statistics
REG2025_0340,Harry Berry,Computer Science,211,73,B3,B3,A1,A1,A1,A1,C6,C6,C6,Animal and Environmental Biology
REG2025_0341,Wayne Reed,Microbiology,202,64,C6,C6,C4,C4,C4,C4,B3,B3,B3,Plant Science and Biotechnology
REG2025_0342,Paige Kent,Mathematics and Statistics,204,60,A1,A1,B2,B2,B2,B2,B2,B2,B2,Animal and Environmental Biology
REG2025_0343,Kate Whitehead,Biochemistry,212,65,B3,B3,C4,C4,C4,C4,B2,B2,B2,Mathematics and Statistics
REG2025_0344,Amanda Brookes,Microbiology,219,67,C4,C4,C6,C6,C6,C6,C6,C6,C6,Applied Physics
REG2025_0345,Jamie Ball,Microbiology,223,69,B2,B2,B2,B2,B2,B2,B3,B3,B3,Mathematics and Statistics
REG2025_0346,Dean Barnes-Miah,Physics,128,39,E8,E8,D7,D7,D7,D7,C6,C6,C6,-
REG2025_0347,Joyce Mitchell,Applied Physics,210,65,B2,B2,A1,A1,A1,A1,B2,B2,B2,Industrial Chemistry
REG2025_0348,Ms Hollie Davies,Biochemistry,162,32,C5,C5,D7,D7,D7,D7,C6,C6,C6,-
REG2025_0349,Dean Davies,Industrial Chemistry,208,64,A1,A1,C6,C6,C6,C6,C4,C4,C4,Mathematics and Statistics
REG2025_0350,Philip Williamson,Biochemistry,220,64,B3,B3,B3,B3,B3,B3,C6,C6,C6,Animal and Environmental Biology
REG2025_0351,Simon Williams,Microbiology,205,61,C4,C4,C5,C5,C5,C5,C4,C4,C4,Animal and Environmental Biology
REG2025_0352,Kyle Jones,Microbiology,208,66,C5,C5,B2,B2,B2,B2,B2,B2,B2,Animal and Environmental Biology
REG2025_0353,Mr Glenn Welch,Animal and Environmental Biology,202,60,A1,A1,B3,B3,B3,B3,B3,B3,B3,Plant Science and Biotechnology
REG2025_0354,Paul Sykes,Computer Science,125,30,B3,D7,F9,F9,F9,F9,C6,C6,C6,-
REG2025_0355,Dr Maureen Hunt,Animal and Environmental Biology,201,60,C4,C4,A1,A1,A1,A1,B2,B2,B2,Plant Science and Biotechnology
REG2025_0356,Sandra Edwards,Microbiology,221,67,C4,C4,B2,B2,B2,B2,C5,C5,C5,Applied Physics
REG2025_0357,Miss Mary Kaur,Biochemistry,205,66,A1,A1,C5,C5,C5,C5,B3,B3,B3,Mathematics and Statistics
REG2025_0358,Benjamin Hall,Computer Science,225,65,C6,C6,C6,C6,C6,C6,B3,B3,B3,Mathematics and Statistics
REG2025_0359,Katherine Moore,Physics,215,66,A1,A1,C5,C5,C5,C5,A1,A1,A1,Applied Physics
REG2025_0360,Naomi Taylor,Animal and Environmental Biology,202,60,B2,B2,A1,A1,A1,A1,C5,C5,C5,Plant Science and Biotechnology
REG2025_0361,Dr Hayley Miller,Physics,215,65,B2,B2,B3,B3,B3,B3,B2,B2,B2,Plant Science and Biotechnology
REG2025_0362,Miss Patricia Day,Microbiology,213,67,B2,B2,A1,A1,A1,A1,A1,A1,A1,Mathematics and Statistics
REG2025_0363,Tracy Roberts,Applied Physics,207,65,B2,B2,B2,B2,B2,B2,B3,B3,B3,Mathematics and Statistics
REG2025_0364,Mrs Georgina Cox,Industrial Chemistry,204,64,B3,B3,C5,C5,C5,C5,C4,C4,C4,Plant Science and Biotechnology
REG2025_0365,Matthew Davis,Industrial Chemistry,173,30,E8,F9,D7,D7,D7,D7,B3,B3,B3,-
REG2025_0366,Abdul Finch,Physics,215,66,C4,C4,C5,C5,C5,C5,C6,C6,C6,Applied Physics
REG2025_0367,Paula Kaur,Animal and Environmental Biology,200,60,C4,C4,B3,B3,B3,B3,A1,A1,A1,Plant Science and Biotechnology
REG2025_0368,Marion Cooper-Brown,Mathematics and Statistics,147,47,F9,C5,F9,F9,F9,F9,B3,B3,B3,-
REG2025_0369,Janet Waters,Animal and Environmental Biology,200,60,C5,C5,A1,A1,A1,A1,C5,C5,C5,Plant Science and Biotechnology
REG2025_0370,Mr Frederick Willis,Computer Science,231,74,C5,C5,B3,B3,B3,B3,C4,C4,C4,Physics
REG2025_0371,Sheila Reynolds,Mathematics and Statistics,122,43,C5,A1,E8,E8,E8,E8,B3,B3,B3,-
REG2025_0372,Francesca Horton,Physics,205,67,B2,B2,B2,B2,B2,B2,B2,B2,B2,Plant Science and Biotechnology
REG2025_0373,Helen Watson,Computer Science,227,66,B2,B2,C6,C6,C6,C6,A1,A1,A1,Mathematics and Statistics
REG2025_0374,Lee Gill,Mathematics and Statistics,201,62,C4,C4,B3,B3,B3,B3,B2,B2,B2,Plant Science and Biotechnology
REG2025_0375,Alex Williamson,Applied Physics,153,39,C6,C4,D7,D7,D7,D7,C6,C6,C6,-
REG2025_0376,Connor Morgan,Physics,160,38,C5,C6,D7,D7,D7,D7,C5,C5,C5,-
REG2025_0377,Dr Harriet Long,Computer Science,150,33,C5,F9,D7,D7,D7,D7,C5,C5,C5,-
REG2025_0378,Nicole Williamson,Industrial Chemistry,209,64,C6,C6,C5,C5,C5,C5,C5,C5,C5,Animal and Environmental Biology
REG2025_0379,Bruce Edwards,Industrial Chemistry,201,62,B2,B2,C6,C6,C6,C6,B3,B3,B3,Plant Science and Biotechnology
REG2025_0380,Michelle Lewis-Cox,Biochemistry,212,67,B2,B2,C4,C4,C4,C4,A1,A1,A1,Animal and Environmental Biology
REG2025_0381,Megan West,Mathematics and Statistics,203,60,B2,B2,C5,C5,C5,C5,C6,C6,C6,Animal and Environmental Biology
REG2025_0382,Dr Samuel Evans,Industrial Chemistry,203,64,C6,C6,C4,C4,C4,C4,C5,C5,C5,Animal and Environmental Biology
REG2025_0383,Miss Holly Bevan,Physics,219,65,C6,C6,B3,B3,B3,B3,A1,A1,A1,Mathematics and Statistics
REG2025_0384,Brett Simpson,Applied Physics,207,65,B2,B2,B3,B3,B3,B3,C4,C4,C4,Mathematics and Statistics
REG2025_0385,Dr Gordon James,Physics,219,66,A1,A1,A1,A1,A1,A1,A1,A1,A1,Applied Physics
REG2025_0386,Dawn Ali,Biochemistry,224,61,B3,B3,A1,A1,A1,A1,A1,A1,A1,Plant Science and Biotechnology
REG2025_0387,Lynn Murray-Wright,Applied Physics,212,63,C4,C4,B3,B3,B3,B3,A1,A1,A1,Animal and Environmental Biology
REG2025_0388,Mark Bruce,Animal and Environmental Biology,202,60,C6,C6,C5,C5,C5,C5,C6,C6,C6,Plant Science and Biotechnology
REG2025_0389,Barbara Fletcher,Biochemistry,202,67,C4,C4,C6,C6,C6,C6,C4,C4,C4,Plant Science and Biotechnology
REG2025_0390,Kenneth Jones,Computer Science,232,73,A1,A1,C5,C5,C5,C5,B3,B3,B3,Mathematics and Statistics
REG2025_0391,Lynne Chambers,Physics,207,67,B2,B2,C5,C5,C5,C5,C5,C5,C5,Animal and Environmental Biology
REG2025_0392,Derek Mason,Mathematics and Statistics,203,61,C6,C6,C5,C5,C5,C5,B2,B2,B2,Animal and Environmental Biology
REG2025_0393,Justin Gray-Richards,Microbiology,224,69,A1,A1,B3,B3,B3,B3,C4,C4,C4,Mathematics and Statistics
REG2025_0394,Norman Burton,Computer Science,231,74,C5,C5,C4,C4,C4,C4,C5,C5,C5,Physics
REG2025_0395,Miss Georgina Parker,Applied Physics,210,62,B2,B2,A1,A1,A1,A1,A1,A1,A1,Animal and Environmental Biology
REG2025_0396,Iain Woodward,Animal and Environmental Biology,200,60,B2,B2,B2,B2,B2,B2,A1,A1,A1,Plant Science and Biotechnology
REG2025_0397,Miss Mandy Johnston,Mathematics and Statistics,203,63,C4,C4,B2,B2,B2,B2,B2,B2,B2,Animal and Environmental Biology
REG2025_0398,Mr Carl Smith,Computer Science,232,71,A1,A1,C5,C5,C5,C5,B2,B2,B2,Microbiology
REG2025_0399,Arthur Adams,Computer Science,237,74,A1,A1,C4,C4,C4,C4,C4,C4,C4,Biochemistry
REG2025_0400,Toby West,Animal and Environmental Biology,200,60,C6,C6,B3,B3,B3,B3,C5,C5,C5,Plant Science and Biotechnology
REG2025_0401,Dr Anna Miller,Physics,214,61,C5,C5,C6,C6,C6,C6,B2,B2,B2,Animal and Environmental Biology
REG2025_0402,Dr Robin Whitehead,Animal and Environmental Biology,202,60,A1,A1,C5,C5,C5,C5,C6,C6,C6,Plant Science and Biotechnology
REG2025_0403,Chelsea Edwards,Mathematics and Statistics,203,63,B2,B2,C6,C6,C6,C6,C5,C5,C5,Animal and Environmental Biology
REG2025_0404,Robin Quinn-Higgins,Plant Science and Biotechnology,155,48,B2,C5,F9,F9,F9,F9,C4,C4,C4,-
REG2025_0405,Eileen Charlton,Applied Physics,211,63,B3,B3,B2,B2,B2,B2,B3,B3,B3,Animal and Environmental Biology
REG2025_0406,Mr Clifford Lawrence,Microbiology,205,68,C4,C4,C5,C5,C5,C5,B3,B3,B3,Mathematics and Statistics
REG2025_0407,Dr Annette Curtis,Industrial Chemistry,207,64,B3,B3,B2,B2,B2,B2,A1,A1,A1,Mathematics and Statistics
REG2025_0408,Beth Bailey,Physics,213,67,C6,C6,B3,B3,B3,B3,C4,C4,C4,Mathematics and Statistics
REG2025_0409,Ms Lynda Jackson,Plant Science and Biotechnology,175,48,C4,E8,D7,D7,D7,D7,C6,C6,C6,-
REG2025_0410,Geraldine O'Donnell-Hussain,Microbiology,205,66,C6,C6,A1,A1,A1,A1,B3,B3,B3,Mathematics and Statistics
REG2025_0411,Dr Lindsey Tyler,Applied Physics,153,42,B2,B3,E8,E8,E8,E8,B3,B3,B3,-
REG2025_0412,Tom Green,Mathematics and Statistics,203,62,B3,B3,C4,C4,C4,C4,C6,C6,C6,Animal and Environmental Biology
REG2025_0413,Mr Jake Turner,Mathematics and Statistics,203,62,A1,A1,C4,C4,C4,C4,C5,C5,C5,Plant Science and Biotechnology
REG2025_0414,Raymond Sharp,Microbiology,222,69,C6,C6,C6,C6,C6,C6,C4,C4,C4,Physics
REG2025_0415,Ms Stephanie Marsh,Plant Science and Biotechnology,134,40,A1,E8,F9,F9,F9,F9,C6,C6,C6,-
REG2025_0416,Anthony White,Industrial Chemistry,205,63,A1,A1,C4,C4,C4,C4,C5,C5,C5,Plant Science and Biotechnology
REG2025_0417,Alexandra Hawkins,Mathematics and Statistics,200,60,C6,C6,C6,C6,C6,C6,B3,B3,B3,Plant Science and Biotechnology
REG2025_0418,Rita Singh-Phillips,Industrial Chemistry,203,64,B3,B3,C4,C4,C4,C4,A1,A1,A1,Plant Science and Biotechnology
REG2025_0419,Barry Goodwin,Biochemistry,212,69,A1,A1,C4,C4,C4,C4,B2,B2,B2,Mathematics and Statistics
REG2025_0420,Michelle West-Martin,Animal and Environmental Biology,202,60,C4,C4,B3,B3,B3,B3,C4,C4,C4,Plant Science and Biotechnology
REG2025_0421,Mohamed Jones,Computer Science,233,72,C4,C4,C4,C4,C4,C4,B2,B2,B2,Mathematics and Statistics
